Date,Competition Name,Home team,Opponent,Away team,Minute,Score Home Team - When Messi Scored,Score Away Team - When Messi Scored,Goal Type,Goal Method,Final Game Result
 22 october 2013,Champions League,AC Milan,AC Milan,FC Barcelona,23,1,1,,Left foot,Draw
 2 april 2013,Champions League,Paris Saint-Germayn,Paris Saint-Germayn,FC Barcelona,38,0,1,,Left foot,Draw
 24 january 2013,,Malaga,Malaga,FC Barcelona,80,2,4,,Head,Won
 12 december 2012,,Cordoba,Cordoba,FC Barcelona,74,0,2,,Left foot,Won
 12 december 2012,,Cordoba,Cordoba,FC Barcelona,11,0,1,,Left foot,Won
 20 november 2012,Champions League,Spartak Moscow,Spartak Moscow,FC Barcelona,39,0,3,,Left foot,Won
 20 november 2012,Champions League,Spartak Moscow,Spartak Moscow,FC Barcelona,27,0,2,Rebound,Right foot,Won
 7 november 2012,Champions League,Celtic,Celtic,FC Barcelona,90+1,2,1,Rebound,Left foot,Lost
 29 august 2012,,Real Madrid,Real Madrid,FC Barcelona,45,2,1,Free kick,Left foot,Lost
 25 may 2012,,Athletic de Bilbao,Athletic de Bilbao,FC Barcelona,20,0,2,,Right foot,Won
 14 february 2012,Champions League,Bayer Leverkusen,Bayer Leverkusen,FC Barcelona,88,1,3,Field goal,Left foot,Won
 18 december 2011,,Santos,Santos,FC Barcelona,82,0,4,,Left foot,Won
 18 december 2011,,Santos,Santos,FC Barcelona,17,0,1,,Left foot,Won
 23 november 2011,Champions League,AC Milan,AC Milan,FC Barcelona,31,1,2,Penalty,Left foot,Won
 1 november 2011,Champions League,Viktoria Plzen,Viktoria Plzen,FC Barcelona,90+2,0,4,,Left foot,Won
 1 november 2011,Champions League,Viktoria Plzen,Viktoria Plzen,FC Barcelona,45,0,2,,Left foot,Won
 1 november 2011,Champions League,Viktoria Plzen,Viktoria Plzen,FC Barcelona,24,0,1,Penalty,Left foot,Won
 28 september 2011,Champions League,BATE Borisov,BATE Borisov,FC Barcelona,55,0,4,,Left foot,Won
 28 september 2011,Champions League,BATE Borisov,BATE Borisov,FC Barcelona,38,0,3,,Head,Won
 14 august 2011,,Real Madrid,Real Madrid,FC Barcelona,45,1,2,,Left foot,Draw
 27 april 2011,Champions League,Real Madrid,Real Madrid,FC Barcelona,87,0,2,Solo run,Right foot,Won
 27 april 2011,Champions League,Real Madrid,Real Madrid,FC Barcelona,76,0,1,Field goal,Left foot,Won
 12 april 2011,Champions League,Shakhtar Donetsk,Shakhtar Donetsk,FC Barcelona,43,0,1,,Left foot,Won
 19 january 2011,,Real Betis,Real Betis,FC Barcelona,38,2,1,,Left foot,Lost
 24 november 2010,Champions League,Panathinaikos,Panathinaikos,FC Barcelona,62,0,2,,Left foot,Won
 2 november 2010,Champions League,FC Copenhagen,FC Copenhagen,FC Barcelona,31,0,1,,Right foot,Draw
 19 december 2009,,Estudiantes La Plata,Estudiantes La Plata,FC Barcelona,110,1,2,,Chest,Won
 16 december 2009,,Atlante,Atlante,FC Barcelona,55,1,2,,Left foot,Won
 9 december 2009,Champions League,Dynamo Kyiv,Dynamo Kyiv,FC Barcelona,86,1,2,Free kick,Left foot,Won
 13 may 2009,,Athletic de Bilbao,Athletic de Bilbao,FC Barcelona,55,1,2,,Left foot,Won
 4 march 2009,,Real Mallorca,Real Mallorca,FC Barcelona,81,1,1,,Left foot,Draw
 6 january 2009,,Atletico Madrid,Atletico Madrid,FC Barcelona,80,1,3,,Right foot,Won
 6 january 2009,,Atletico Madrid,Atletico Madrid,FC Barcelona,57,0,2,Penalty,Left foot,Won
 6 january 2009,,Atletico Madrid,Atletico Madrid,FC Barcelona,13,0,1,,Left foot,Won
 26 november 2008,Champions League,Sporting Lisbon,Sporting Lisbon,FC Barcelona,49,0,3,,Left foot,Won
 22 october 2008,Champions League,FC Basel,FC Basel,FC Barcelona,4,0,1,,Left foot,Won
 1 october 2008,Champions League,Shakhtar Donetsk,Shakhtar Donetsk,FC Barcelona,90+4,1,2,,Left foot,Won
 1 october 2008,Champions League,Shakhtar Donetsk,Shakhtar Donetsk,FC Barcelona,87,1,1,Rebound,Right foot,Won
 20 february 2008,Champions League,Celtic,Celtic,FC Barcelona,79,2,3,,Left foot,Won
 20 february 2008,Champions League,Celtic,Celtic,FC Barcelona,18,1,1,,Left foot,Won
 27 november 2007,Champions League,Olympique Lyon,Olympique Lyon,FC Barcelona,58,1,2,Penalty,Left foot,Draw
 2 october 2007,Champions League,VfB Stuttgart,VfB Stuttgart,FC Barcelona,67,0,2,,Right foot,Won
 27 september 2006,Champions League,Werder Bremen,Werder Bremen,FC Barcelona,89,1,1,,Left foot,Draw
 23 february 2019,Liga,Sevilla,Sevilla,FC Barcelona,85,2,3,Field goal,Left foot,Won
 23 february 2019,Liga,Sevilla,Sevilla,FC Barcelona,67,2,2,Field goal,Right foot,Won
 23 february 2019,Liga,Sevilla,Sevilla,FC Barcelona,26,1,1,Field goal,Left foot,Won
 7 october 2018,Liga,Valencia,Valencia,FC Barcelona,23,1,1,Field goal,Left foot,Draw
 29 april 2018,Liga,Deportivo La Coruna,Deportivo La Coruna,FC Barcelona,85,2,4,Field goal,Left foot,Won
 29 april 2018,Liga,Deportivo La Coruna,Deportivo La Coruna,FC Barcelona,82,2,3,Field goal,Right foot,Won
 31 march 2018,Liga,Sevilla,Sevilla,FC Barcelona,89,2,2,Field goal,Left foot,Draw
 14 january 2018,Liga,Real Sociedad,Real Sociedad,FC Barcelona,85,2,4,Free kick,Left foot,Won
 23 april 2017,Liga,Real Madrid,Real Madrid,FC Barcelona,90+2,2,3,Field goal,Left foot,Won
 23 april 2017,Liga,Real Madrid,Real Madrid,FC Barcelona,33,1,1,Field goal,Left foot,Won
 26 february 2017,Liga,Atletico Madrid,Atletico Madrid,FC Barcelona,87,1,2,Rebound,Left foot,Won
 8 january 2017,Liga,Villarreal,Villarreal,FC Barcelona,90,1,1,Free kick,Left foot,Draw
 27 november 2016,Liga,Real Sociedad,Real Sociedad,FC Barcelona,59,1,1,Field goal,Left foot,Draw
 6 november 2016,Liga,Sevilla,Sevilla,FC Barcelona,43,1,1,Field goal,Left foot,Won
 22 october 2016,Liga,Valencia,Valencia,FC Barcelona,90+4,2,3,Penalty,Left foot,Won
 3 march 2016,Liga,Rayo Vallecano,Rayo Vallecano,FC Barcelona,72,1,4,Field goal,Left foot,Won
 17 february 2016,Liga,Sporting Gijon,Sporting Gijon,FC Barcelona,31,1,2,Field goal,Left foot,Won
 23 january 2016,Liga,Malaga,Malaga,FC Barcelona,51,1,2,Field goal,Left foot,Won
 12 september 2015,Liga,Atletico Madrid,Atletico Madrid,FC Barcelona,77,1,2,Field goal,Left foot,Won
 28 february 2015,Liga,Granada,Granada,FC Barcelona,70,1,3,,Right foot,Won
 27 april 2014,Liga,Villarreal,Villarreal,FC Barcelona,83,2,3,,Right foot,Won
 23 march 2014,Liga,Real Madrid,Real Madrid,FC Barcelona,84,3,4,Penalty,Left foot,Won
 23 march 2014,Liga,Real Madrid,Real Madrid,FC Barcelona,65,3,3,Penalty,Left foot,Won
 23 march 2014,Liga,Real Madrid,Real Madrid,FC Barcelona,42,2,2,,Left foot,Won
 22 february 2014,Liga,Real Sociedad,Real Sociedad,FC Barcelona,36,1,1,,Left foot,Lost
 9 february 2014,Liga,Sevilla,Sevilla,FC Barcelona,56,1,3,,Left foot,Won
 9 february 2014,Liga,Sevilla,Sevilla,FC Barcelona,44,1,2,,Left foot,Won
 27 april 2013,Liga,Athletic de Bilbao,Athletic de Bilbao,FC Barcelona,67,1,1,Solo run,Left foot,Draw
 30 march 2013,Liga,Celta de Vigo,Celta de Vigo,FC Barcelona,73,1,2,,Left foot,Draw
 2 march 2013,Liga,Real Madrid,Real Madrid,FC Barcelona,18,1,1,,Left foot,Lost
 16 february 2013,Liga,Granada,Granada,FC Barcelona,73,1,2,Free kick,Left foot,Won
 16 february 2013,Liga,Granada,Granada,FC Barcelona,50,1,1,Rebound,Right foot,Won
 3 february 2013,Liga,Valencia,Valencia,FC Barcelona,39,1,1,Penalty,Left foot,Draw
 11 november 2012,Liga,Real Mallorca,Real Mallorca,FC Barcelona,70,2,4,,Left foot,Won
 20 october 2012,Liga,Deportivo La Coruna,Deportivo La Coruna,FC Barcelona,77,3,5,,Left foot,Won
 20 october 2012,Liga,Deportivo La Coruna,Deportivo La Coruna,FC Barcelona,43,2,4,,Right foot,Won
 26 august 2012,Liga,Osasuna,Osasuna,FC Barcelona,80,1,2,,Left foot,Won
 26 august 2012,Liga,Osasuna,Osasuna,FC Barcelona,76,1,1,,Left foot,Won
 14 april 2012,Liga,Levante,Levante,FC Barcelona,72,1,2,Penalty,Left foot,Won
 14 april 2012,Liga,Levante,Levante,FC Barcelona,64,1,1,Field goal,Left foot,Won
 7 april 2012,Liga,Real Zaragoza,Real Zaragoza,FC Barcelona,86,1,3,Penalty,Left foot,Won
 7 april 2012,Liga,Real Zaragoza,Real Zaragoza,FC Barcelona,39,1,2,,Left foot,Won
 26 february 2012,Liga,Atletico Madrid,Atletico Madrid,FC Barcelona,81,1,2,Free kick,Left foot,Won
 6 november 2011,Liga,Athletic de Bilbao,Athletic de Bilbao,FC Barcelona,90+1,2,2,Rebound,Left foot,Draw
 1 may 2010,Liga,Villarreal,Villarreal,FC Barcelona,88,1,4,,Left foot,Won
 6 march 2010,Liga,UD Almeria,UD Almeria,FC Barcelona,66,2,2,,Left foot,Draw
 6 march 2010,Liga,UD Almeria,UD Almeria,FC Barcelona,42,1,1,Free kick,Left foot,Draw
 5 december 2009,Liga,Deportivo La Coruna,Deportivo La Coruna,FC Barcelona,80,1,2,,Head,Won
 2 may 2009,Liga,Real Madrid,Real Madrid,FC Barcelona,75,2,5,,Left foot,Won
 2 may 2009,Liga,Real Madrid,Real Madrid,FC Barcelona,36,1,3,,Left foot,Won
 1 february 2009,Liga,Racing Santander,Racing Santander,FC Barcelona,81,1,2,,Right foot,Won
 1 february 2009,Liga,Racing Santander,Racing Santander,FC Barcelona,65,1,1,Rebound,Right foot,Won
 11 january 2009,Liga,Osasuna,Osasuna,FC Barcelona,85,2,3,,Left foot,Won
 1 november 2008,Liga,Malaga,Malaga,FC Barcelona,19,1,2,,Left foot,Won
 27 september 2008,Liga,Espanyol,Espanyol,FC Barcelona,90+7,1,2,Penalty,Left foot,Won
 21 september 2008,Liga,Sporting Gijon,Sporting Gijon,FC Barcelona,89,1,6,Field goal,Head,Won
 21 september 2008,Liga,Sporting Gijon,Sporting Gijon,FC Barcelona,85,1,5,Field goal,Left foot,Won
 28 august 2006,Liga,Celta de Vigo,Celta de Vigo,FC Barcelona,60,1,2,,Left foot,Won
 16 december 2018,Liga,Levante,Levante,FC Barcelona,43,0,2,Field goal,Right foot,Won
 2 may 2015,Liga,Cordoba,Cordoba,FC Barcelona,46,0,3,,Head,Won
 14 march 2015,Liga,Eibar,Eibar,FC Barcelona,55,0,2,,Head,Won
 18 january 2015,Liga,Deportivo La Coruna,Deportivo La Coruna,FC Barcelona,10,0,1,,Head,Won
 21 september 2014,Liga,Levante,Levante,FC Barcelona,77,0,5,,Right foot,Won
 1 september 2013,Liga,Valencia,Valencia,FC Barcelona,39,0,2,,Right foot,Won
 13 january 2013,Liga,Malaga,Malaga,FC Barcelona,27,0,1,,Right foot,Won
 27 october 2012,Liga,Rayo Vallecano,Rayo Vallecano,FC Barcelona,89,0,5,,Right foot,Won
 22 january 2012,Liga,Malaga,Malaga,FC Barcelona,33,0,1,,Head,Won
 26 february 2011,Liga,Real Mallorca,Real Mallorca,FC Barcelona,38,0,1,,Head,Won
 29 august 2010,Liga,Racing Santander,Racing Santander,FC Barcelona,3,0,1,,Right foot,Won
 10 april 2010,Liga,Real Madrid,Real Madrid,FC Barcelona,33,0,1,,Right foot,Won
 21 march 2010,Liga,Real Zaragoza,Real Zaragoza,FC Barcelona,5,0,1,,Head,Won
 10 january 2010,Liga,Tenerife,Tenerife,FC Barcelona,45,0,3,,Right foot,Won
 12 september 2009,Liga,Getafe,Getafe,FC Barcelona,80,0,2,,Head,Won
 29 january 2006,Liga,Real Mallorca,Real Mallorca,FC Barcelona,75,0,2,,Right foot,Won
 27 january 2019,Liga,Girona,Girona,FC Barcelona,68,0,2,Field goal,Left foot,Won
 6 january 2019,Liga,Getafe,Getafe,FC Barcelona,20,0,1,Field goal,Left foot,Won
 16 december 2018,Liga,Levante,Levante,FC Barcelona,60,0,4,Field goal,Left foot,Won
 16 december 2018,Liga,Levante,Levante,FC Barcelona,47,0,3,Field goal,Left foot,Won
 8 december 2018,Liga,Espanyol,Espanyol,FC Barcelona,65,0,4,Free kick,Left foot,Won
 8 december 2018,Liga,Espanyol,Espanyol,FC Barcelona,18,0,1,Free kick,Left foot,Won
 29 april 2018,Liga,Deportivo La Coruna,Deportivo La Coruna,FC Barcelona,38,0,2,Field goal,Left foot,Won
 1 march 2018,Liga,Las Palmas,Las Palmas,FC Barcelona,21,0,1,Free kick,Left foot,Draw
 21 january 2018,Liga,Real Betis,Real Betis,FC Barcelona,80,0,4,Solo run,Left foot,Won
 21 january 2018,Liga,Real Betis,Real Betis,FC Barcelona,64,0,2,Field goal,Left foot,Won
 23 december 2017,Liga,Real Madrid,Real Madrid,FC Barcelona,64,0,2,Penalty,Left foot,Won
 10 december 2017,Liga,Villarreal,Villarreal,FC Barcelona,83,0,2,Field goal,Left foot,Won
 28 october 2017,Liga,Athletic de Bilbao,Athletic de Bilbao,FC Barcelona,36,0,1,Field goal,Left foot,Won
 26 august 2017,Liga,Alaves ,Alaves ,FC Barcelona,66,0,2,Field goal,Left foot,Won
 26 august 2017,Liga,Alaves ,Alaves ,FC Barcelona,55,0,1,Field goal,Left foot,Won
 11 february 2017,Liga,Alaves ,Alaves ,FC Barcelona,59,0,3,Field goal,Left foot,Won
 22 january 2017,Liga,Eibar,Eibar,FC Barcelona,50,0,2,Field goal,Left foot,Won
 10 december 2016,Liga,Osasuna,Osasuna,FC Barcelona,90+2,0,3,Solo run,Left foot,Won
 10 december 2016,Liga,Osasuna,Osasuna,FC Barcelona,72,0,2,Field goal,Left foot,Won
 22 october 2016,Liga,Valencia,Valencia,FC Barcelona,22,0,1,Field goal,Left foot,Won
 17 september 2016,Liga,Leganes,Leganes,FC Barcelona,55,0,4,Penalty,Left foot,Won
 17 september 2016,Liga,Leganes,Leganes,FC Barcelona,15,0,1,Field goal,Left foot,Won
 20 april 2016,Liga,Deportivo La Coruna,Deportivo La Coruna,FC Barcelona,73,0,6,Field goal,Left foot,Won
 6 march 2016,Liga,Eibar,Eibar,FC Barcelona,76,0,3,Penalty,Left foot,Won
 6 march 2016,Liga,Eibar,Eibar,FC Barcelona,41,0,2,Field goal,Left foot,Won
 3 march 2016,Liga,Rayo Vallecano,Rayo Vallecano,FC Barcelona,54,0,3,Rebound,Left foot,Won
 3 march 2016,Liga,Rayo Vallecano,Rayo Vallecano,FC Barcelona,23,0,2,Field goal,Left foot,Won
 17 february 2016,Liga,Sporting Gijon,Sporting Gijon,FC Barcelona,25,0,1,Field goal,Left foot,Won
 17 may 2015,Liga,Atletico Madrid,Atletico Madrid,FC Barcelona,65,0,1,,Left foot,Won
 2 may 2015,Liga,Cordoba,Cordoba,FC Barcelona,80,0,6,Rebound,Left foot,Won
 25 april 2015,Liga,Espanyol,Espanyol,FC Barcelona,25,0,2,,Left foot,Won
 11 april 2015,Liga,Sevilla,Sevilla,FC Barcelona,14,0,1,,Left foot,Draw
 14 march 2015,Liga,Eibar,Eibar,FC Barcelona,31,0,1,Penalty,Left foot,Won
 8 february 2015,Liga,Athletic de Bilbao,Athletic de Bilbao,FC Barcelona,15,0,1,Free kick,Left foot,Won
 24 january 2015,Liga,Elche,Elche,FC Barcelona,88,0,5,,Left foot,Won
 24 january 2015,Liga,Elche,Elche,FC Barcelona,55,0,2,Penalty,Left foot,Won
 18 january 2015,Liga,Deportivo La Coruna,Deportivo La Coruna,FC Barcelona,62,0,3,,Left foot,Won
 18 january 2015,Liga,Deportivo La Coruna,Deportivo La Coruna,FC Barcelona,33,0,2,,Left foot,Won
 4 october 2014,Liga,Rayo Vallecano,Rayo Vallecano,FC Barcelona,35,0,1,,Left foot,Won
 29 march 2014,Liga,Espanyol,Espanyol,FC Barcelona,77,0,1,Penalty,Left foot,Won
 28 september 2013,Liga,UD Almeria,UD Almeria,FC Barcelona,21,0,1,,Left foot,Won
 1 september 2013,Liga,Valencia,Valencia,FC Barcelona,41,0,3,,Left foot,Won
 1 september 2013,Liga,Valencia,Valencia,FC Barcelona,11,0,1,,Left foot,Won
 19 january 2013,Liga,Real Sociedad,Real Sociedad,FC Barcelona,7,0,1,,Left foot,Lost
 22 december 2012,Liga,Real Valladolid,Real Valladolid,FC Barcelona,59,0,2,,Left foot,Won
 9 december 2012,Liga,Real Betis,Real Betis,FC Barcelona,25,0,2,,Left foot,Won
 9 december 2012,Liga,Real Betis,Real Betis,FC Barcelona,16,0,1,,Left foot,Won
 25 november 2012,Liga,Levante,Levante,FC Barcelona,52,0,2,,Left foot,Won
 25 november 2012,Liga,Levante,Levante,FC Barcelona,47,0,1,,Left foot,Won
 11 november 2012,Liga,Real Mallorca,Real Mallorca,FC Barcelona,44,0,2,,Left foot,Won
 27 october 2012,Liga,Rayo Vallecano,Rayo Vallecano,FC Barcelona,48,0,2,,Left foot,Won
 20 october 2012,Liga,Deportivo La Coruna,Deportivo La Coruna,FC Barcelona,18,0,3,,Left foot,Won
 15 september 2012,Liga,Getafe,Getafe,FC Barcelona,78,0,3,,Left foot,Won
 15 september 2012,Liga,Getafe,Getafe,FC Barcelona,74,0,2,Penalty,Left foot,Won
 29 april 2012,Liga,Rayo Vallecano,Rayo Vallecano,FC Barcelona,90,0,7,,Left foot,Won
 29 april 2012,Liga,Rayo Vallecano,Rayo Vallecano,FC Barcelona,16,0,1,,Left foot,Won
 24 march 2012,Liga,Real Mallorca,Real Mallorca,FC Barcelona,25,0,1,Free kick,Left foot,Won
 17 march 2012,Liga,Sevilla,Sevilla,FC Barcelona,25,0,2,,Left foot,Won
 11 march 2012,Liga,Racing Santander,Racing Santander,FC Barcelona,56,0,2,Penalty,Left foot,Won
 11 march 2012,Liga,Racing Santander,Racing Santander,FC Barcelona,29,0,1,,Left foot,Won
 22 january 2012,Liga,Malaga,Malaga,FC Barcelona,81,0,4,,Left foot,Won
 22 january 2012,Liga,Malaga,Malaga,FC Barcelona,51,0,3,,Left foot,Won
 16 april 2011,Liga,Real Madrid,Real Madrid,FC Barcelona,53,0,1,Penalty,Left foot,Draw
 2 march 2011,Liga,Valencia,Valencia,FC Barcelona,77,0,1,,Left foot,Won
 29 january 2011,Liga,Hercules Alicante,Hercules Alicante,FC Barcelona,89,0,3,,Left foot,Won
 29 january 2011,Liga,Hercules Alicante,Hercules Alicante,FC Barcelona,87,0,2,,Left foot,Won
 8 january 2011,Liga,Deportivo La Coruna,Deportivo La Coruna,FC Barcelona,52,0,2,Free kick,Left foot,Won
 4 december 2010,Liga,Osasuna,Osasuna,FC Barcelona,83,0,3,Penalty,Left foot,Won
 4 december 2010,Liga,Osasuna,Osasuna,FC Barcelona,65,0,2,,Left foot,Won
 20 november 2010,Liga,UD Almeria,UD Almeria,FC Barcelona,67,0,7,Rebound,Left foot,Won
 20 november 2010,Liga,UD Almeria,UD Almeria,FC Barcelona,37,0,5,Rebound,Left foot,Won
 20 november 2010,Liga,UD Almeria,UD Almeria,FC Barcelona,17,0,1,Field goal,Left foot,Won
 7 november 2010,Liga,Getafe,Getafe,FC Barcelona,23,0,1,,Left foot,Won
 23 october 2010,Liga,Real Zaragoza,Real Zaragoza,FC Barcelona,66,0,2,,Left foot,Won
 23 october 2010,Liga,Real Zaragoza,Real Zaragoza,FC Barcelona,42,0,1,,Left foot,Won
 19 september 2010,Liga,Atletico Madrid,Atletico Madrid,FC Barcelona,13,0,1,,Left foot,Won
 8 may 2010,Liga,Sevilla,Sevilla,FC Barcelona,5,0,1,,Left foot,Won
 1 may 2010,Liga,Villarreal,Villarreal,FC Barcelona,19,0,1,,Left foot,Won
 21 march 2010,Liga,Real Zaragoza,Real Zaragoza,FC Barcelona,78,0,3,,Left foot,Won
 21 march 2010,Liga,Real Zaragoza,Real Zaragoza,FC Barcelona,66,0,2,Solo run,Left foot,Won
 23 january 2010,Liga,Real Valladolid,Real Valladolid,FC Barcelona,56,0,3,,Left foot,Won
 10 january 2010,Liga,Tenerife,Tenerife,FC Barcelona,75,0,4,,Left foot,Won
 10 january 2010,Liga,Tenerife,Tenerife,FC Barcelona,36,0,1,,Left foot,Won
 5 december 2009,Liga,Deportivo La Coruna,Deportivo La Coruna,FC Barcelona,27,0,1,,Left foot,Won
 22 september 2009,Liga,Racing Santander,Racing Santander,FC Barcelona,63,0,4,,Left foot,Won
 22 september 2009,Liga,Racing Santander,Racing Santander,FC Barcelona,24,0,2,,Left foot,Won
 25 april 2009,Liga,Valencia,Valencia,FC Barcelona,24,0,1,,Left foot,Draw
 18 april 2009,Liga,Getafe,Getafe,FC Barcelona,19,0,1,,Left foot,Won
 1 march 2009,Liga,Atletico Madrid,Atletico Madrid,FC Barcelona,30,0,2,,Left foot,Lost
 29 november 2008,Liga,Sevilla,Sevilla,FC Barcelona,90+2,0,3,,Left foot,Won
 29 november 2008,Liga,Sevilla,Sevilla,FC Barcelona,78,0,2,,Left foot,Won
 16 november 2008,Liga,Recreativo Huelva,Recreativo Huelva,FC Barcelona,52,0,1,,Left foot,Won
 29 september 2007,Liga,Levante,Levante,FC Barcelona,51,0,4,,Left foot,Won
 17 june 2007,Liga,Gimnasia fc,Gimnasia fc,FC Barcelona,51,0,4,,Left foot,Won
 17 june 2007,Liga,Gimnasia fc,Gimnasia fc,FC Barcelona,35,0,2,,Left foot,Won
 20 may 2007,Liga,Atletico Madrid,Atletico Madrid,FC Barcelona,80,0,5,,Left foot,Won
 20 may 2007,Liga,Atletico Madrid,Atletico Madrid,FC Barcelona,39,0,1,,Left foot,Won
 17 march 2007,Liga,Recreativo Huelva,Recreativo Huelva,FC Barcelona,86,0,4,,Left foot,Won
 29 january 2006,Liga,Real Mallorca,Real Mallorca,FC Barcelona,81,0,3,,Left foot,Won
